Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,High Score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.69084096,12.397590361445783,-0.36072338,-0.8117962520539601,-0.8117962520539601,7.0,0.17179787,0.07036981,0.00029996916,1.0
20000,0.6824248,13.455202312138729,-0.68181646,-0.8060693693040424,-0.8060693693040424,9.0,0.062505946,0.06760349,0.00029991352,1.0
30000,0.60965866,18.551181102362204,-0.6808496,-0.803543311169767,-0.803543311169767,None,0.04998046,0.06882666,0.00029985156,1.0
40000,0.5038809,28.476470588235294,-0.65299445,-0.7893805362306162,-0.7893805362306162,None,0.040435307,0.067485854,0.00029978954,1.0
50000,0.32703596,45.83098591549296,-0.6145857,-0.8251162831866464,-0.8251162831866464,None,0.028712776,0.073300205,0.0002997274,1.0
60000,0.19553879,90.0952380952381,-0.53578943,-0.753846156769074,-0.753846156769074,None,0.021200664,0.06803552,0.00029966506,1.0
70000,0.10878164,171.57142857142858,-0.37644055,-0.620408163082843,-0.620408163082843,None,0.018370701,0.06871338,0.00029960915,1.0
80000,0.07237635,234.70731707317074,-0.24908262,-0.49999999964521047,-0.49999999964521047,None,0.018389843,0.06134624,0.00029955333,1.0
90000,0.047419503,351.75,-0.15940048,-0.3142857104539871,-0.3142857104539871,12.0,0.015318273,0.064814106,0.00029949128,1.0
100000,0.03755661,344.3809523809524,-0.10565137,-0.2666666635445186,-0.2666666635445186,None,0.01436918,0.06659878,0.00029942882,1.0
110000,0.043280438,638.1428571428571,-0.010893825,0.4000000123466764,0.4000000123466764,23.0,0.006292651,0.06886269,0.00029936654,1.0
120000,0.037792627,703.1363636363636,0.015993519,0.536363653161309,0.536363653161309,None,0.019257935,0.063837424,0.0002993104,1.0
130000,0.034563158,493.4,0.042837318,-0.07999999225139617,-0.07999999225139617,None,0.006730409,0.06880374,0.0002992545,1.0
140000,0.029718965,1306.2857142857142,0.10220819,1.8000000310795647,1.8000000310795647,29.0,0.007588812,0.05902823,0.00029919163,1.0
150000,0.03803475,1206.8181818181818,0.11708182,1.6363636688752607,1.6363636688752607,41.0,0.008971867,0.06917533,0.00029912923,1.0
160000,0.035201114,1043.5,0.1154677,1.275000024586916,1.275000024586916,52.0,0.0110575175,0.067742616,0.00029906648,1.0
170000,0.030025598,1212.0,0.13363011,1.6500000283122063,1.6500000283122063,62.0,0.006373565,0.07375103,0.00029901002,1.0
180000,0.03503337,686.5,0.13962153,0.600000012665987,0.600000012665987,73.0,0.0062512024,0.070676304,0.0002989538,1.0
190000,0.030940281,1548.4,0.15779966,2.6400000497698786,2.6400000497698786,75.0,0.011036316,0.06769651,0.00029889098,1.0
200000,0.031398013,1444.75,0.15759595,2.4500000402331352,2.4500000402331352,None,0.0037554197,0.06918006,0.0002988284,1.0
210000,0.029967064,1670.5,0.1609381,2.900000035762787,2.900000035762787,None,0.0035034444,0.07257719,0.00029876578,1.0
220000,0.028255245,3604.75,0.17157201,7.250000115483999,7.250000115483999,None,0.0047729905,0.06420548,0.00029870914,1.0
230000,0.029872134,817.0,0.19136587,0.6000000238418579,0.6000000238418579,None,0.003267293,0.07174377,0.00029865187,1.0
240000,0.027655719,1854.25,0.20487835,3.35000004991889,3.35000004991889,None,0.0048023313,0.06918388,0.0002985881,1.0
250000,0.030873783,2753.5,0.19603398,5.450000084936619,5.450000084936619,83.0,0.004761584,0.066708416,0.00029853065,1.0
260000,0.027098121,3670.5,0.19171444,7.300000123679638,7.300000123679638,94.0,0.0042046634,0.0737467,0.00029847416,1.0
270000,0.029135622,1911.6666666666667,0.20508295,3.266666720310847,3.266666720310847,104.0,0.0038053102,0.06444032,0.00029841095,1.0
280000,0.029230068,3795.3333333333335,0.16461748,7.1400001153349875,7.1400001153349875,112.0,0.011008637,0.06941025,0.0002983481,1.0
290000,0.027197832,1480.0,0.14322573,2.3000000417232513,2.3000000417232513,None,0.0052234977,0.06978474,0.00029828557,1.0
300000,0.02864813,1461.5,0.15862007,2.3000000342726707,2.3000000342726707,None,0.002077484,0.06381939,0.00029822887,1.0
310000,0.03223815,4001.5,0.17590185,7.900000132620335,7.900000132620335,None,0.0031775092,0.06675577,0.0002981724,1.0
320000,0.027432283,3173.0,0.18539163,6.000000104308128,6.000000104308128,None,0.0036979602,0.069170095,0.0002981094,1.0
330000,0.026480714,None,0.20022528,None,None,None,0.0013073344,0.07062199,0.00029804604,1.0
340000,0.027540863,5103.0,0.19924045,10.600000162919363,10.600000162919363,None,0.004865341,0.066870786,0.00029798923,1.0
350000,0.026201151,4351.0,0.20402384,8.800000131130219,8.800000131130219,None,0.00218621,0.06863787,0.00029793193,1.0
360000,0.029416468,2148.0,0.20210268,3.8000000715255737,3.8000000715255737,None,0.0038573905,0.067036204,0.00029786822,1.0
370000,0.026416454,2461.0,0.19423409,4.800000086426735,4.800000086426735,None,0.002904566,0.06460297,0.00029781164,1.0
380000,0.026841769,8372.0,0.20230024,17.80000026524067,17.80000026524067,None,0.0020528021,0.06868318,0.0002977541,1.0
390000,0.024880018,1300.0,0.20004813,2.100000023841858,2.100000023841858,117.0,0.0030786546,0.06725003,0.00029769033,1.0
400000,0.030758167,10476.5,0.21143958,22.800000339746475,22.800000339746475,128.0,0.0030784416,0.07861594,0.00029762666,1.0
410000,0.0275814,11132.0,0.20805995,24.600000381469727,24.600000381469727,130.0,0.002819054,0.067168534,0.00029756982,1.0
420000,0.025985738,None,0.21288593,None,None,141.0,0.0012504859,0.064946,0.0002975126,1.0
430000,0.02686649,6123.0,0.21918057,12.800000190734863,12.800000190734863,152.0,0.0023229085,0.065155655,0.00029744912,1.0
440000,0.027596878,3223.0,0.22256169,7.000000104308128,7.000000104308128,161.0,0.0023752546,0.06360136,0.000297392,1.0
450000,0.029542755,7375.333333333333,0.22203219,16.266666909058888,16.266666909058888,168.0,0.003580549,0.071672425,0.00029733486,1.0
460000,0.02405571,6047.25,0.20680933,12.750000201165676,12.750000201165676,None,0.005831242,0.06952867,0.000297272,1.0
470000,0.025295172,None,0.19902936,None,None,None,0.001260502,0.06727143,0.00029720872,1.0
480000,0.023688775,2321.0,0.21176486,4.300000064074993,4.300000064074993,175.0,0.0024949808,0.06775803,0.00029714563,1.0
490000,0.025302922,None,0.21316288,None,None,185.0,0.0012033007,0.06663727,0.0002970889,1.0
500000,0.025411015,None,0.22105224,None,None,195.0,0.0013853566,0.068213366,0.0002970319,1.0
510000,0.024487143,6609.666666666667,0.23081483,14.066666876276335,14.066666876276335,196.0,0.0041050347,0.06497699,0.00029696888,1.0
520000,0.022391286,None,0.22050801,None,None,None,0.0011901835,0.07166297,0.00029690558,1.0
530000,0.024551583,15017.0,0.22336853,33.60000051558018,33.60000051558018,None,0.003014482,0.07176949,0.0002968486,1.0
540000,0.02570341,12627.0,0.22006214,27.400000408291817,27.400000408291817,None,0.0022647218,0.0681855,0.00029679172,1.0
550000,0.024476193,None,0.22006024,None,None,None,0.0013503614,0.07338981,0.00029672854,1.0
560000,0.024417464,4742.5,0.21329041,9.700000144541264,9.700000144541264,None,0.003288046,0.06331358,0.00029666544,1.0
570000,0.025263516,13053.0,0.21759136,28.60000041127205,28.60000041127205,None,0.0026374618,0.07271909,0.0002966084,1.0
580000,0.025863022,None,0.21519035,None,None,199.0,0.0012242399,0.06869704,0.00029655077,1.0
590000,0.022712618,4360.75,0.21507019,8.900000136345625,8.900000136345625,210.0,0.0044946843,0.06910595,0.00029648762,1.0
600000,0.023815144,None,0.2184182,None,None,220.0,0.0013940048,0.06859823,0.00029643084,1.0
610000,0.02252398,18309.0,0.22220145,41.600000619888306,41.600000619888306,230.0,0.0018720204,0.07328233,0.0002963741,1.0
620000,0.026853671,14787.0,0.2268982,33.00000049173832,33.00000049173832,241.0,0.0017821159,0.06564066,0.00029631096,1.0
630000,0.023927808,None,0.23334488,None,None,251.0,0.0012642682,0.06903862,0.0002962478,1.0
640000,0.025654474,6468.0,0.23251367,13.600000202655792,13.600000202655792,262.0,0.001483769,0.07272731,0.0002961908,1.0
650000,0.024434503,16829.0,0.22276418,39.00000058114529,39.00000058114529,272.0,0.0029381667,0.067420214,0.00029613407,1.0
660000,0.023572024,7731.0,0.21953288,16.700000248849392,16.700000248849392,283.0,0.0029961944,0.06244003,0.00029607074,1.0
