Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,High Score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.67486817,16.987410071942445,-0.34590638,-0.8190991084854882,-0.8190991084854882,5.0,0.14230238,0.06764179,0.00029996893,1.0
20000,0.5653771,26.662983425414364,-0.6519762,-0.8138121640237655,-0.8138121640237655,None,0.038864203,0.06936972,0.0002999131,1.0
30000,0.3779812,51.10215053763441,-0.60848045,-0.8108695686349402,-0.8108695686349402,7.0,0.027254602,0.06325177,0.0002998509,1.0
40000,0.21581933,96.96907216494846,-0.49188423,-0.7840000005066394,-0.7840000005066394,10.0,0.023170719,0.06920338,0.00029978814,1.0
50000,0.10382537,183.42,-0.38349482,-0.7119999995827675,-0.7119999995827675,11.0,0.017085323,0.068150684,0.00029972562,1.0
60000,0.054342836,295.85185185185185,-0.26774657,-0.5629629625214471,-0.5629629625214471,None,0.011433651,0.06776446,0.00029966922,1.0
70000,0.04008982,372.44444444444446,-0.18991,-0.5111111087931527,-0.5111111087931527,None,0.014214516,0.068818085,0.000299613,1.0
80000,0.03165056,675.8461538461538,-0.10966599,0.03076923695894388,0.03076923695894388,14.0,0.009405708,0.06997996,0.00029955062,1.0
90000,0.02161958,622.6666666666666,-0.06481514,-0.04999999205271403,-0.04999999205271403,None,0.008705461,0.06374093,0.00029948785,1.0
100000,0.027182547,565.8888888888889,-0.02457619,-0.2222222155994839,-0.2222222155994839,18.0,0.009585224,0.06862742,0.00029943165,1.0
110000,0.028808882,1053.3333333333333,0.026021292,0.6666666815678278,0.6666666815678278,25.0,0.006084296,0.07006359,0.00029937498,1.0
120000,0.02624675,None,0.070703015,None,None,33.0,0.0013099054,0.06740983,0.0002993117,1.0
130000,0.021862708,3185.25,0.101925306,4.300000067800283,4.300000067800283,40.0,0.0047648908,0.06827237,0.00029924844,1.0
140000,0.02227426,1951.0,0.106702425,1.9000000357627869,1.9000000357627869,47.0,0.0035078442,0.06796434,0.0002991909,1.0
150000,0.02597735,2486.25,0.10328479,2.9750000555068254,2.9750000555068254,49.0,0.00515632,0.06677129,0.0002991337,1.0
160000,0.023602145,1920.8,0.092907086,1.9200000405311584,1.9200000405311584,None,0.006911324,0.06505589,0.00029907087,1.0
170000,0.021380002,2025.0,0.07984125,2.0333333760499954,2.0333333760499954,52.0,0.0071244417,0.06619756,0.0002990077,1.0
180000,0.021245532,2718.6,0.08532816,3.3200000554323195,3.3200000554323195,56.0,0.0064285365,0.071936674,0.0002989498,1.0
190000,0.023113266,1594.0,0.09497465,1.5500000193715096,1.5500000193715096,None,0.003425724,0.06915845,0.0002988932,1.0
200000,0.023374775,2221.0,0.11499619,2.600000038743019,2.600000038743019,None,0.0011146932,0.06838112,0.00029883004,1.0
210000,0.024835784,2436.1666666666665,0.11966619,2.76666671782732,2.76666671782732,None,0.0076715774,0.060619246,0.000298767,1.0
220000,0.02366756,353.5,0.09796331,-0.6000000014901161,-0.6000000014901161,None,0.0030739359,0.06820371,0.0002987107,1.0
230000,0.02291052,2511.0,0.106949285,3.433333391944567,3.433333391944567,58.0,0.005657104,0.065561324,0.00029865405,1.0
240000,0.019023964,1436.3333333333333,0.11298892,0.900000024586916,0.900000024586916,65.0,0.0045482703,0.06100353,0.0002985918,1.0
250000,0.0222515,None,0.1336182,None,None,72.0,0.001134324,0.06797119,0.00029852884,1.0
260000,0.022123355,1339.0,0.13734241,1.0000000149011612,1.0000000149011612,80.0,0.0018998344,0.070616245,0.00029846551,1.0
270000,0.020636052,3468.5555555555557,0.14203383,4.400000075499217,4.400000075499217,84.0,0.010624439,0.06430455,0.00029840902,1.0
280000,0.019746043,None,0.13163652,None,None,None,0.0010162713,0.06571174,0.00029835227,1.0
290000,0.019552613,2933.0,0.138047,3.6666667262713113,3.6666667262713113,None,0.00393301,0.066215605,0.00029828912,1.0
300000,0.021180801,1513.0,0.1317406,1.4000000283122063,1.4000000283122063,None,0.0024327405,0.07528098,0.00029822643,1.0
310000,0.02058266,6549.5,0.13422593,9.200000144541264,9.200000144541264,None,0.0036062594,0.06790318,0.0002981698,1.0
320000,0.020975199,3058.5,0.13020356,3.700000062584877,3.700000062584877,None,0.0017479064,0.07010541,0.00029811292,1.0
330000,0.022048807,2293.5,0.13195933,2.7000000402331352,2.7000000402331352,91.0,0.0026050364,0.06928938,0.00029805006,1.0
340000,0.020921642,9698.0,0.1420642,15.000000223517418,15.000000223517418,99.0,0.0018520564,0.07251543,0.00029798647,1.0
350000,0.019984193,None,0.15469989,None,None,107.0,0.0011392712,0.07334106,0.00029792954,1.0
360000,0.019923957,7257.666666666667,0.14251141,10.66666683057944,10.66666683057944,115.0,0.0036459267,0.064746216,0.00029787264,1.0
370000,0.019997116,1062.0,0.13782027,0.6000000089406967,0.6000000089406967,122.0,0.0019461665,0.06470349,0.00029780949,1.0
